"vegitable","minPrice","maxPrice"
"Tomato (தக்காளி)","10.00 ","12.00 "
"Tomato – Navin (தக்காளி – நவின்)","9.00 ","11.00 "
"Potato (உருளைக்கிழங்கு)","12.00 ","17.00 "
"Onion (வெங்காயம்)","15.00 ","25.00 "
"Brinjal (கத்திரிக்காய்)","10.00 ","20.00 "
"Cabbage (முட்டைக்கோசு)","5.00 ","6.00 "
"Beans (பீன்ஸ்)","20.00 ","40.00 "
"Sabre-Bean (அவரைக்காய்)","20.00 ","30.00 "
"Carrot (கேரட்)","25.00 ","30.00 "
"Radish (முள்ளங்கி)","10.00 ","15.00 "
"Ladies finger (வெண்டைக்காய்)","20.00 ","40.00 "
"Drumstick (முருங்கைக்காய்)","20.00 ","45.00 "
"Beet root (பீட்ரூட்)","15.00 ","20.00 "
"Bitter gourd (பாகற்காய்)","30.00 ","50.00 "
"Snake-gourd (புடலங்காய்)","5.00 ","15.00 "
"Capsicum (குடை மிளகாய்)","20.00 ","30.00 "
"Green Chillies (பச்சை மிளகாய்)","18.00 ","25.00 "
"Onion - Sambar (சாம்பார் வெங்காயம்)","45.00 ","65.00 "
"Green Plantain - Per Piece (வாழைக்காய் - ஒன்றின் விலை)","2.00 ","5.50 "
"Chayote (சௌசௌ)","10.00 ","12.00 "
"Ginger (இஞ்சி)","50.00 ","60.00 "
"Lemon (எலுமிச்சை)","20.00 ","30.00 "
"Nookal (நூக்கல்)","15.00 ","18.00 "
"Cauliflower – Per Piece (காளிபிளவர் - ஒன்றின் விலை)","30.00 ","40.00 "
"Yam (சேனைக்கிழங்கு)","20.00 ","25.00 "
"Coconut - per piece  தேங்காய் (ஒன்றின் விலை)","20.00 ","30.00 "
"Little Gourd (கோவைக்காய்)","8.00 ","10.00 "
"Cucumber (வெள்ளரிக்காய்)","16.00 ","20.00 "
"Mango (மாங்காய்)","10.00 ","18.00 "
"Bottle Gourd (சுரைக்காய்)","15.00 ","25.00 "
"Elephant Yam (கருணைக்கிழங்கு)","20.00 ","25.00 "
"Coriander  (கொத்தமல்லி)","50.00 ","60.00 "